ìsìáãÊ,106891,4072,3968,3917,4030,5823,6791,7313,7728,8189,8487,7290,6584,6230,7123,6354,5073,3918,4001
ïüìáãÊ,76761,3502,2961,2621,2524,4455,6446,6892,6699,6759,6317,4964,4134,3333,3822,3702,2973,2274,2382
çüâ‘ãÊ,65542,2523,2570,2475,2807,3549,3486,3525,4044,4786,5334,4733,4074,3655,4571,4314,3684,2856,2555
êºãÊ,101620,4906,3860,2955,3044,6630,9578,10579,10694,9683,8404,6314,4902,4076,4479,3973,2979,2225,2339
ç`ãÊ,80829,2637,2744,2934,3305,4778,5081,4872,4982,5677,6387,5577,4944,4401,5338,5258,4723,3658,3533
ëÂê≥ãÊ,63201,2047,2146,2454,2880,3118,3024,3104,3344,4121,4903,4414,3885,3763,4903,4891,4202,3088,2913
ìVâ§éõãÊ,79753,3654,3620,3228,3274,4434,5244,5721,6248,6577,6630,5793,4961,4130,4222,3796,3019,2451,2752
òQë¨ãÊ,73710,2240,1528,1193,1879,6543,9308,8766,7052,5555,5015,4063,3405,3207,3755,3429,2736,2001,2034
êºóÑêÏãÊ,95745,3470,3649,4150,4723,5525,5773,5548,5803,7100,8167,6813,5583,5036,6196,5940,4989,3712,3569
ìåóÑêÏãÊ,176289,5671,5685,5782,7071,12975,13874,12562,11829,12506,13445,11869,10030,8992,10797,10513,9221,6890,6575
ìåê¨ãÊ,83193,2945,2786,2866,3369,5224,6089,5810,5616,6047,6439,5566,4825,4372,5192,4918,4176,3384,3570
ê∂ñÏãÊ,129191,3792,3748,3963,5296,8061,7945,7210,6906,7921,9159,8591,7785,7485,9184,9301,8546,6922,7375
àÆãÊ,90694,3080,3074,3158,3726,4886,5000,5138,5384,6078,6872,6299,5572,5107,6305,6287,5447,4472,4807
èÈìåãÊ,167117,6782,6577,6882,7270,8525,9297,10280,11125,12983,14168,11848,9790,8589,10446,10374,8871,6798,6514
à¢î{ñÏãÊ,109675,4664,4734,4545,5044,5791,5659,6191,7199,8077,8770,7758,7004,6151,6737,6366,5427,4454,5103
èZãgãÊ,153067,5807,5972,5975,6829,8646,8622,8571,8985,10287,11899,11068,9384,8116,9708,9771,8631,6983,7813
ìåèZãgãÊ,126152,4633,4619,4794,5748,6864,6611,6776,7122,8378,9684,9058,7910,6821,8228,8490,7561,6157,6700
êºê¨ãÊ,109064,2189,2363,2663,3464,5180,4891,4502,4800,5964,7567,7417,7021,7593,10817,11043,9208,6702,5679
óÑêÏãÊ,181201,6378,5856,5720,6441,11826,14396,14003,13148,13886,14801,12503,10565,9466,10844,10567,8470,6162,6167
íﬂå©ãÊ,111442,5370,5525,5633,5743,5574,5797,6656,7339,8819,9716,8217,6363,5247,6006,5934,5513,4262,3729
èZîVç]ãÊ,120869,4033,4271,4558,5135,5975,5824,6283,6759,8149,9245,8521,7601,7447,9661,9272,7476,5479,5178
ïΩñÏãÊ,193219,6872,7196,8003,9637,10740,10039,9657,9970,12582,16080,15139,12224,9760,11860,12887,12568,9813,8192
ñkãÊ,134507,5373,3929,3114,3567,8177,11958,13351,12948,12290,11513,9424,7513,6153,6803,6289,4824,3608,3672
íÜâõãÊ,99249,3915,2925,2276,2555,6310,10187,10517,9995,9140,8519,6902,5355,4449,4520,3910,3063,2312,2401
ç‰ãÊ,147868,5240,5455,5794,6512,8014,8503,8508,8553,10622,12236,10547,9033,7958,10098,9861,8532,6129,6274
íÜãÊ,122795,5173,5758,6090,6466,6793,6134,6303,7136,9355,10526,8431,6431,6057,8032,8478,7422,4471,3738
ìåãÊ,84598,3282,3728,3819,3978,4014,3721,4085,4863,6006,6909,5602,4720,4407,5847,6410,5752,3941,3516
êºãÊ,135489,5546,6380,6889,7145,6870,6559,6838,8205,10334,11896,9344,7407,6716,8548,8660,7662,5372,5118
ìÏãÊ,140802,4568,5645,6597,7077,6118,5019,5917,7093,9901,11594,9186,7651,7732,11231,12683,10769,6702,5320
ñkãÊ,159344,7416,7185,7370,7731,8225,8577,9860,10248,12142,14261,11449,8485,7095,9021,9662,8994,6375,5247
î¸å¥ãÊ,38192,1359,1692,1965,1992,1925,1624,1758,2257,2865,3089,2407,1949,2000,2765,3129,2528,1503,1387
ä›òaìcés,190447,7295,8283,9062,10204,10702,9602,9549,10108,12723,15281,13566,11568,10527,12893,12620,11110,7960,7395
ñLíÜés,398479,17762,18780,18014,18647,19331,19012,22450,25643,29795,34046,29196,23470,20088,23679,25055,22214,16378,14920
írìcés,104102,4081,4556,4683,5134,5688,5330,5558,6173,7507,8513,7324,6216,5460,6463,6760,5789,4369,4497
êÅìcés,379911,17752,18304,17669,18460,20542,19514,22383,25438,29115,32776,27474,21590,18447,22161,22695,18855,13860,12876
êÚëÂí√és,74586,2837,2984,3491,4336,4496,3768,3711,4071,5388,6716,5630,4328,3890,4772,4695,4035,2851,2586
çÇíŒés,348346,13498,14597,15960,16719,16796,15564,17756,20363,25633,29459,23996,19276,17758,23284,25165,23295,15537,13690
äLíÀés,86047,3241,3847,4548,5069,4617,3983,4098,4682,5981,7371,6280,5243,4661,5480,5464,4850,3463,3171
éÁå˚és,141863,5334,4935,5382,6348,7546,7685,7735,7846,9728,12161,10524,8440,7234,8964,10098,9781,6732,5391
ñáï˚és,398995,14693,17270,18756,20373,20464,17806,19481,23213,29058,33573,28174,23074,21817,27896,29058,24579,15706,14003
àÔñÿés,282233,12634,13635,13993,14634,14873,14172,16456,18421,22248,24635,19765,15294,13692,17205,17598,14624,9563,8790
î™îˆés,266410,10065,10985,11745,13412,13911,12864,13485,14978,18442,22767,19448,15618,13369,17485,18552,17599,11682,10002
êÚç≤ñÏés,100380,3661,3942,4413,5415,6566,5593,5241,5579,7170,8408,7249,5963,5423,6368,6206,5545,4054,3585
ïxìcó—és,110490,3578,4259,4672,5829,6303,5219,5032,5369,6814,8513,7905,7512,6731,8156,8079,6984,4886,4647
êQâÆêÏés,230820,8236,9124,9765,11133,11571,10441,11081,12571,16581,20295,16711,13213,12091,16255,17788,16011,10054,7900
âÕì‡í∑ñÏés,102614,3109,3601,3991,4884,4865,4106,4514,4824,6158,7507,6672,6514,7039,8570,8888,7495,4946,4930
èºå¥és,118475,3908,4414,4913,6176,6651,5788,5573,5916,7664,10270,8860,6956,5966,7987,8780,8579,5629,4446
ëÂìåés,120210,4315,4785,5460,6350,7157,6209,6122,6534,8624,10633,8956,6724,6002,7894,8435,7661,4767,3582
òaêÚés,185159,7104,9106,9656,10761,10366,8512,9199,10801,13507,16140,13383,11281,9981,12173,11825,9536,6250,5577
ñ•ñ és,136119,6171,7508,7041,6706,7154,5975,7412,8844,10368,11325,9191,7465,6963,8137,8712,7448,4860,4840
îêå¥és,68634,2282,2637,2921,3516,3855,3404,3424,3617,4391,5525,4905,4274,3912,4979,5083,4441,2941,2526
âHâgñÏés,110040,3675,4266,5011,5908,5989,4942,5064,5527,7356,9104,7987,6618,6003,7655,8283,7380,4837,4435
ñÂê^és,120263,3641,4102,4745,5851,6756,6216,5827,6194,8351,10970,9455,6762,5968,8238,8987,8655,5686,3858
ê€í√és,85570,3849,3612,3676,4052,4528,4931,5341,5533,6420,7570,5625,4376,4156,5433,5841,5160,3078,2388
çÇêŒés,56207,2237,2371,2584,3066,2938,2786,2901,3161,3846,4755,3890,3298,3036,3661,3774,3338,2281,2285
ì°à‰éõés,63981,2331,2734,2907,3290,3401,2937,3166,3604,4440,5396,4654,3751,3372,4292,4433,3968,2727,2576
ìåëÂç„és,495180,17052,18835,20778,24195,27947,25425,25665,27436,34126,42834,36812,29541,25451,32721,35072,31636,21917,17736
êÚìÏés,60664,2224,2636,3035,3573,3385,2810,2852,3155,4055,4921,4075,3547,3184,4319,4410,3829,2500,2155
élûäìÎés,55432,2050,2306,2847,3278,3062,2501,2523,2901,4084,5249,4217,3025,2526,3477,4031,3550,2128,1678
åñÏés,76325,3043,3302,3659,4226,4027,3159,3609,3951,5374,6742,5710,4527,3898,4886,5501,5044,3199,2467
ëÂç„ã∑éRés,58520,2570,2693,2837,3029,3019,2630,3082,3481,4159,4800,3732,3381,3161,3918,4032,3466,2337,2192
ç„ìÏés,52022,1512,2050,2312,2718,2532,2073,2191,2652,3453,4046,3544,3095,3334,4327,4233,3695,2188,2068
ìáñ{í¨,30493,1397,1576,1415,1380,1252,1300,1714,2052,2269,2368,1978,1763,1684,2240,2180,1710,1113,1101
ñLî\í¨,18630,298,425,537,705,764,570,620,704,847,1076,1108,1203,1529,2196,2217,1740,1062,1030
î\ê®í¨,9334,152,205,286,381,406,365,329,342,437,587,715,707,810,996,925,650,460,583
íââ™í¨,16883,582,682,840,936,950,838,778,864,1158,1487,1149,971,843,1147,1140,979,810,730
åFéÊí¨,43927,1706,2012,2280,2469,2333,1752,2165,2485,3071,3518,2805,2465,2533,3407,3401,2601,1481,1441
ìcêKí¨,8516,364,384,477,487,676,503,465,490,643,705,521,437,360,444,466,457,318,317
ñ¶í¨,15206,343,423,552,740,675,486,603,640,883,1120,1068,949,986,1320,1385,1282,827,924
ëæéqí¨,13253,453,506,654,822,758,534,569,624,840,1086,1000,851,806,938,1006,784,472,549
âÕìÏí¨,15787,484,614,706,823,853,626,659,740,991,1203,1087,1046,1003,1181,1206,1060,750,754
êÁëÅê‘ç„ë∫,4954,93,143,175,180,179,151,149,191,276,319,270,273,338,534,609,467,303,303
